村志代码 Gazetteer Code,村志书名 Gazetteer Title,Is the data available?,Start Year,End Year,Data,Category,Division1,Division2,Division3,Division4
0002,叶店村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0002,叶店村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0002,叶店村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0002,叶店村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0002,叶店村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0002,叶店村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0002,叶店村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0002,叶店村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0002,叶店村志,Yes,1980,1983,1381,人口 Population,男性人口 Male Population,,,
0002,叶店村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0002,叶店村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0002,叶店村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0002,叶店村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0003,马鞭田村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0003,马鞭田村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0003,马鞭田村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0003,马鞭田村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0003,马鞭田村志,Yes,1961,1963,38,自然出生率 Birth Rate (‰),,,,
0003,马鞭田村志,Yes,1966,1976,35,自然出生率 Birth Rate (‰),,,,
0003,马鞭田村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0003,马鞭田村志,Yes,1961,1970,33.1,自然增长率 Natural Population Growth Rate (‰),,,,
0003,马鞭田村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0003,马鞭田村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0003,马鞭田村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0003,马鞭田村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0003,马鞭田村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0003,马鞭田村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0003,马鞭田村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0003,马鞭田村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0004,万秀村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0004,万秀村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0004,万秀村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0004,万秀村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0004,万秀村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0004,万秀村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0004,万秀村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0004,万秀村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0004,万秀村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0004,万秀村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0004,万秀村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0004,万秀村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0004,万秀村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0004,万秀村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0004,万秀村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0004,万秀村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0004,万秀村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0004,万秀村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0005,光淀村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0005,光淀村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0005,光淀村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0005,光淀村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0005,光淀村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0005,光淀村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0005,光淀村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0005,光淀村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0005,光淀村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0005,光淀村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0005,光淀村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0005,光淀村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0005,光淀村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0005,光淀村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0005,光淀村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0005,光淀村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0005,光淀村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0005,光淀村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0006,方等村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0006,方等村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0006,方等村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0006,方等村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0006,方等村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0006,方等村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0006,方等村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0006,方等村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0006,方等村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0006,方等村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0006,方等村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0006,方等村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0006,方等村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0006,方等村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0006,方等村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0006,方等村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0006,方等村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0006,方等村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0007,渔津洼村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0007,渔津洼村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0007,渔津洼村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0007,渔津洼村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0007,渔津洼村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0007,渔津洼村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0007,渔津洼村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0007,渔津洼村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0007,渔津洼村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0007,渔津洼村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0007,渔津洼村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0007,渔津洼村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0007,渔津洼村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0007,渔津洼村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0007,渔津洼村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0007,渔津洼村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0007,渔津洼村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0007,渔津洼村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0008,板板桥村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0008,板板桥村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0008,板板桥村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0008,板板桥村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0008,板板桥村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0008,板板桥村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0008,板板桥村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0008,板板桥村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0008,板板桥村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0008,板板桥村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0008,板板桥村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0008,板板桥村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0008,板板桥村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0008,板板桥村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0008,板板桥村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0008,板板桥村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0008,板板桥村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0008,板板桥村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0009,仓上村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0009,仓上村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0009,仓上村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0009,仓上村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0009,仓上村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0009,仓上村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0009,仓上村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0009,仓上村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0009,仓上村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0009,仓上村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0009,仓上村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0009,仓上村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0009,仓上村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0009,仓上村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0009,仓上村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0009,仓上村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0009,仓上村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0009,仓上村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0010,草场地村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0010,草场地村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0010,草场地村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0010,草场地村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0010,草场地村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0010,草场地村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0010,草场地村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0010,草场地村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0010,草场地村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0010,草场地村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0010,草场地村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0010,草场地村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0010,草场地村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0010,草场地村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0010,草场地村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0010,草场地村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0010,草场地村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0010,草场地村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0012,东候坊村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0012,东候坊村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0012,东候坊村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0012,东候坊村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0012,东候坊村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0012,东候坊村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0012,东候坊村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0012,东候坊村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0012,东候坊村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0012,东候坊村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0012,东候坊村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0012,东候坊村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0012,东侯坊村志,Yes,1970,1977,56,迁入 Migration In,,,知识青年 Educated Youth,
0012,东侯坊村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0012,东候坊村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0012,东候坊村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0012,东候坊村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0012,东候坊村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0011,东莞市常平镇桥梓村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0013,黄土岗村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0013,黄土岗村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0013,黄土岗村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0013,黄土岗村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0013,黄土岗村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0013,黄土岗村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0013,黄土岗村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0013,黄土岗村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0013,黄土岗村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0013,黄土岗村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0013,黄土岗村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0013,黄土岗村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0013,黄土岗村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0013,黄土岗村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0013,黄土岗村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0013,黄土岗村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0013,黄土岗村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0013,黄土岗村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0015,三合村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0015,三合村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0015,三合村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0015,三合村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0015,三合村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0015,三合村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0015,三合村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0015,三合村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0015,三合村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0015,三合村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0015,三合村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0015,三合村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0015,三合村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0015,三合村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0015,三合村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0015,三合村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0015,三合村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0015,三合村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0014,桑耳庄村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0014,桑耳庄村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0014,桑耳庄村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0014,桑耳庄村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0014,桑耳庄村志,Yes,1973,1974,15,迁入 Migration In,,,知识青年 Educated Youth,
0014,桑耳庄村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0014,桑耳庄村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0014,桑耳庄村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0014,桑耳庄村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0016,上海林村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0016,上海林村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0016,上海林村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0016,上海林村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0016,上海林村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0016,上海林村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0016,上海林村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0016,上海林村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0016,上海林村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0016,上海林村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0016,上海林村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0016,上海林村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0016,上海林村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0016,上海林村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0016,上海林村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0016,上海林村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0016,上海林村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0016,上海林村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0017,单家村村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0017,单家村村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0017,单家村村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0017,单家村村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0017,单家村村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0017,单家村村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0017,单家村村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
